Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,2-4 Yrs,Analytical skills\nLogistic regression\nData analysis\nOperations research\nMachine learning\nHTML\nRisk management\nMATLAB,1500,UG/PG,Full Time,700000-1200000,700000,1200000,2
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,NoSQL\ndata science\nRDBMS\ncassandra\nHTML\nData mining\nSDLC\nAnalytics,1500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,2
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,3-6 Yrs,Root cause analysis\nFactor analysis\ndata science\nAnalytical\nMachine learning\nAlgorithm development\nHTML\nData mining,1500,PG,Full Time,NA,#VALUE!,#VALUE!,3
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-12 Yrs,data science\nSAS\nWeb analytics\nAnalytical\nSocial media\nHTML\nOmniture\nAnalytics,1500,Phd,Full Time,1200000-1700000,1200000,1700000,8
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-3 Yrs,Computer science\nC++\nData analysis\nAnalytical\nMachine learning\nHTML\nData mining\nAnalytics,1500,UG/PG,Full Time,750000-1200000,750000,1200000,1
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,data science\nManager Technology\nHTML\nMathematics\nData Analyst\nSPSS\nStatistics\nAnalytics,1500,UG/PG,Full Time,1200000-1700000,1200000,1700000,0
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Mumbai,2-7 Yrs,Unix\nLinux\nMachine learning\nHTML\nPerl\nPredictive analytics\nRuby\nSQL,1500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,2
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,Computer science\nAutomation\nData analysis\nAnalytical\nMachine learning\nHTML\nData quality\nAnalytics,1500,UG/PG,Full Time,1800000-2200000,1800000,2200000,1
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,Computer science\nCoding\nMachine learning\nHTML\nData mining\nAnalytics\nSQL\nAndroid,1500,PG/Phd,Full Time,1200000-1700000,1200000,1700000,3
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,8-10 Yrs,SAS SQL\ntableau\nData modeling\nAuthor\nHTML\nPredictive modeling\nData analytics\nData mining,1500,Phd,Full Time,1000000-1400000,1000000,1400000,8
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,C++\nBusiness objects\nSAS\nCognos\nHTML\nPerl\nTeradata\nOpen source,1500,PG/Phd,Full Time,NA,#VALUE!,#VALUE!,5
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,Data analysis\ndata science\nAnalytical\nMachine learning\nHTML\nData mining\nAnalytics\nFinancial services,1500,PG/Phd,Full Time,700000-1550000,700000,1550000,3
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,4-5 Yrs,data science\nMachine learning\nDeployment\nAuthor\nHTML\nData mining\nAnalytics\nAndroid,1500,PG/Phd,Full Time,1300000-1700000,1300000,1700000,4
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,5-10 Yrs,Computer science\nQualitative research\nData analysis\nMachine learning\nHTML\nPredictive modeling\nSPSS\nMultivariate analysis,1500,PG/Phd,Full Time,1600000-2100000,1600000,2100000,5
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Chennai,7-12 Yrs,Computer science\nWeb analytics\nMachine learning\nData structures\nHTML\nTest cases\nOpen source\nData mining,1500,Phd,Full Time,1900000,#VALUE!,#VALUE!,7
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,14-16 Yrs,Computer science\nText mining\ndeep learning\nbig data analytics\nArtificial Intelligence\nConsulting\nMachine learning\nHTML,1500,PG/Phd,Full Time,900000-1450000,900000,1450000,14
Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,Social media analytics\nExcel\ndata science\nSAS\nData management\nHTML\nPredictive modeling\nSPSS,1500,PG/Phd,Full Time,500000-800000,500000,800000,3
Machine Learning Engineer,Analytics Vidhya Educon Pvt. Ltd,Noida,0-5 Yrs,NoSQL\nMachine learning\nHTML\nMongoDB\nData mining\nMATLAB\nAnalytics\nSQL,1500,UG/PG,Full Time,1200000-1550000,1200000,1550000,0
Machine Learning Engineer,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-5 Yrs,User research\nComputer vision\ndata science\nMachine learning\nData structures\nHTML\nPredictive modeling\nAnalytics,1500,PG,Full Time,1500000-1900000,1500000,1900000,3
